ACTION,TIMESTAMP
LastNameTest1 FirstNameTest1 created a new current account in CHF with IBAN RO09FBOR45690577982387604765176526,09-10-2022 06:48:15
LastNameTest1 FirstNameTest1 received 150.0CHF in the current account with IBAN RO09FBOR45690577982387604765176526,09-10-2022 06:49:55
LastNameTest1 FirstNameTest1 generated a statement for the current account with IBAN RO09FBOR45690577982387604765176526,09-10-2022 06:50:30
LastNameTest1 FirstNameTest1 requested a debit card for the current account with IBAN RO09FBOR44832802987969769344102283,09-10-2022 06:51:25
LastNameTest1 FirstNameTest1 received 5000.0RON in the current account with IBAN RO09FBOR44832802987969769344102283,09-10-2022 06:53:02
LastNameTest1 FirstNameTest1 generated a statement for the current account with IBAN RO09FBOR44832802987969769344102283,09-10-2022 06:53:10
LastNameTest1 FirstNameTest1 created a deposit with an amount of 500.0RON and a maturity of 12 months,09-10-2022 06:53:46
LastNameTest1 FirstNameTest1 was granted a loan of 3000.0RON with a maturity of 36 months,09-10-2022 06:54:52
LastNameTest1 FirstNameTest1 logged in,09-10-2022 06:56:48
LastNameTest1 FirstNameTest1 viewed its products,09-10-2022 06:56:51
LastNameTest1 FirstNameTest1 generated a statement for the current account with IBAN RO09FBOR45690577982387604765176526,09-10-2022 06:58:18
LastNameTest1 FirstNameTest1 generated a statement for the current account with IBAN RO09FBOR44832802987969769344102283,09-10-2022 06:58:41
LastName1 FirstName1 logged in,09-10-2022 07:00:11
LastName1 FirstName1 generated a statement for the current account with IBAN RO09FBOR77971890051360302664707462,09-10-2022 07:00:29
